Domain,Competency,Grade,LO Code, Outcome,Skill,Chimple Subject,Chimple Chapter,Chimple Lesson,Difficulty_Score,,,,,,,Source,Code,Score
Number Operations,Addition-Subtraction Relationship,Class 2 ,ILM 5.16,Appreciates and applies relationship between addition and subtraction of numbers,Identifies whether addition or subtraction is required to solve a given numerical situation.,Math,Math Operations,Add & Subtract - 1,0.75,,,,,,,,,
Number Operations,Addition-Subtraction Relationship,Class 2 ,ILM 5.16,Appreciates and applies relationship between addition and subtraction of numbers,Identifies whether addition or subtraction is required to solve a given numerical situation.,Math,Math Operations,Add & Subtract - 2,0.75,,,,,,,,,
Number Operations,Addition-Subtraction Relationship,Class 2 ,ILM 5.16,Appreciates and applies relationship between addition and subtraction of numbers,Identifies whether addition or subtraction is required to solve a given numerical situation.,Math,Math Operations,Add & Subtract - 3,0.75,,,,,,,,,
Number Operations,Addition-Subtraction Relationship,Class 2 ,ILM 5.16,Appreciates and applies relationship between addition and subtraction of numbers,Identifies whether addition or subtraction is required to solve a given numerical situation.,Math,Math Operations,Add & Subtract - 4,0.75,,,,,,,,,
Number Operations,Addition-Subtraction Relationship,Class 2 ,ILM 5.16,Appreciates and applies relationship between addition and subtraction of numbers,Identifies whether addition or subtraction is required to solve a given numerical situation.,Math,Math Operations,Add & Subtract - 5,0.75,,,,,,,,,
Number Operations,Addition-Subtraction Relationship,Class 2 ,ILM 5.16,Appreciates and applies relationship between addition and subtraction of numbers,Identifies whether addition or subtraction is required to solve a given numerical situation.,Math,Math Operations,Add & Subtract - 6,0.75,,,,,,,,,
Number Operations,Addition-Subtraction Relationship,Class 2 ,ILM 5.16,Appreciates and applies relationship between addition and subtraction of numbers,Identifies whether addition or subtraction is required to solve a given numerical situation.,Math,Math Operations,Add & Subtract - 7,0.75,,,,,,,,,
Number Operations,Addition-Subtraction Relationship,Class 2 ,ILM 5.16,Appreciates and applies relationship between addition and subtraction of numbers,Identifies whether addition or subtraction is required to solve a given numerical situation.,Math,Math Operations,Add & Subtract - 8,0.75,,,,,,,,,
Number Operations,Multiplication,Class 1,ILM 4.17,"Develops strategies for repeatedly adding numbers up to 10, sum not exceeding 20",Relates repeated addition to multiplication ideas using simple examples.,Math,Word Problems,Multiplication 1,0.5,,,,,,,,,
Number Operations,Multiplication,Class 2 ,ILM 5.17,"Develops the idea of multiplication of numbers and constructs and applies multiplication facts (tables) of 2, 3 and 4 in daily life situations",Generalizes multiplication as repeated addition through equal group counting.,Math,Multiplication Beginners,Table of  1,0.5625,,,,,,,,,
Number Operations,Multiplication,Class 2 ,ILM 5.17,"Develops the idea of multiplication of numbers and constructs and applies multiplication facts (tables) of 2, 3 and 4 in daily life situations",Generalizes multiplication as repeated addition through equal group counting.,Math,Multiplication Beginners,Count and Multiply 2,0.5625,,,,,,,,,
Number Operations,Multiplication,Class 2 ,ILM 5.17,"Develops the idea of multiplication of numbers and constructs and applies multiplication facts (tables) of 2, 3 and 4 in daily life situations",Generalizes multiplication as repeated addition through equal group counting.,Math,Multiplication Beginners,Count and Multiply 3,0.5625,,,,,,,,,
Number Operations,Multiplication,Class 2 ,ILM 5.17,"Develops the idea of multiplication of numbers and constructs and applies multiplication facts (tables) of 2, 3 and 4 in daily life situations",Generalizes multiplication as repeated addition through equal group counting.,Math,Multiplication Beginners,Table of  2,0.5625,,,,,,,,,
Number Operations,Multiplication,Class 2 ,ILM 5.17,"Develops the idea of multiplication of numbers and constructs and applies multiplication facts (tables) of 2, 3 and 4 in daily life situations",Generalizes multiplication as repeated addition through equal group counting.,Math,Multiplication Beginners,Table of  3,0.5625,,,,,,,,,
Number Operations,Multiplication,Class 2 ,ILM 5.17,"Develops the idea of multiplication of numbers and constructs and applies multiplication facts (tables) of 2, 3 and 4 in daily life situations",Constructs and recalls multiplication facts for the table of 3 to solve numerical situations.,Math,Math Operations,Table of 3,0.625,,,,,,,,,
Number Operations,Multiplication,Class 2 ,ILM 5.17,"Develops the idea of multiplication of numbers and constructs and applies multiplication facts (tables) of 2, 3 and 4 in daily life situations",Constructs and recalls multiplication facts for tables of 2 and 3 using patterns and grouping.,Math,Word Problems,Multiplication 2,0.625,,,,,,,,,
Number Operations,Multiplication,Class 2 ,ILM 5.17,"Develops the idea of multiplication of numbers and constructs and applies multiplication facts (tables) of 2, 3 and 4 in daily life situations",Applies multiplication facts to solve simple word problems involving equal groups in daily-life situations.,Math,Multiplication Basics,Fast Multiplication 3-81,0.6875,,,,,,,,,
Number Operations,Multiplication,Class 2 ,ILM 5.17,"Develops the idea of multiplication of numbers and constructs and applies multiplication facts (tables) of 2, 3 and 4 in daily life situations",Applies multiplication facts to solve simple word problems involving equal groups in daily-life situations.,Math,Multiplication Basics,Fast Multiplication 3-10,0.6875,,,,,,,,,
Number Operations,Multiplication,Class 2 ,ILM 5.17,"Develops the idea of multiplication of numbers and constructs and applies multiplication facts (tables) of 2, 3 and 4 in daily life situations",Applies multiplication facts to solve simple word problems involving equal groups in daily-life situations.,Math,Multiplication Basics,Table of 5 ,0.6875,,,,,,,,,
Number Operations,Multiplication,Class 2 ,ILM 5.17,"Develops the idea of multiplication of numbers and constructs and applies multiplication facts (tables) of 2, 3 and 4 in daily life situations",Applies multiplication facts to solve simple word problems involving equal groups in daily-life situations.,Math,Multiplication Basics,Table of 6,0.6875,,,,,,,,,
Number Operations,Multiplication,Class 2 ,ILM 5.17,"Develops the idea of multiplication of numbers and constructs and applies multiplication facts (tables) of 2, 3 and 4 in daily life situations",Applies multiplication facts to solve simple word problems involving equal groups in daily-life situations.,Math,Multiplication Basics,Table of 7,0.6875,,,,,,,,,
Number Operations,Multiplication,Class 2 ,ILM 5.17,"Develops the idea of multiplication of numbers and constructs and applies multiplication facts (tables) of 2, 3 and 4 in daily life situations",Applies multiplication facts to solve simple word problems involving equal groups in daily-life situations.,Math,Multiplication Basics,Table of 8 ,0.6875,,,,,,,,,
Number Operations,Multiplication,Class 2 ,ILM 5.17,"Develops the idea of multiplication of numbers and constructs and applies multiplication facts (tables) of 2, 3 and 4 in daily life situations",Applies multiplication facts to solve simple word problems involving equal groups in daily-life situations.,Math,Multiplication Basics,Table of 9 ,0.6875,,,,,,,,,
Number Operations,Multiplication,Class 2 ,ILM 5.17,"Develops the idea of multiplication of numbers and constructs and applies multiplication facts (tables) of 2, 3 and 4 in daily life situations",Applies multiplication facts to solve simple word problems involving equal groups in daily-life situations.,Math,Multiplication Basics,Tables 1-10,0.6875,,,,,,,,,
Number Operations,Multiplication,Class 2 ,ILM 5.17,"Develops the idea of multiplication of numbers and constructs and applies multiplication facts (tables) of 2, 3 and 4 in daily life situations","Uses known multiplication facts to quickly find products, extending understanding beyond tables of 2–4.",Math,Multiplication- Elementary,Multiply 2-9,0.75,,,,,,,,,
Number Operations,Multiplication,Class 2 ,ILM 5.17,"Develops the idea of multiplication of numbers and constructs and applies multiplication facts (tables) of 2, 3 and 4 in daily life situations","Uses known multiplication facts to quickly find products, extending understanding beyond tables of 2–4.",Math,Multiplication- Elementary,Multiply 3-8,0.75,,,,,,,,,
Number Operations,Multiplication,Class 2 ,ILM 5.17,"Develops the idea of multiplication of numbers and constructs and applies multiplication facts (tables) of 2, 3 and 4 in daily life situations","Uses known multiplication facts to quickly find products, extending understanding beyond tables of 2–4.",Math,Multiplication- Elementary,Find the product 2-9 ,0.75,,,,,,,,,
Number Operations,Multiplication,Class 2 ,ILM 5.17,"Develops the idea of multiplication of numbers and constructs and applies multiplication facts (tables) of 2, 3 and 4 in daily life situations","Uses known multiplication facts to quickly find products, extending understanding beyond tables of 2–4.",Math,Multiplication- Elementary,Find the product 2-8,0.75,,,,,,,,,
Number Operations,Division,Class 2 ,ILM 5.18,Develops the idea of division of numbers as equal distribution/sharing,Identifies division as equal sharing by distributing objects into uniform groups.,English,Division,Division 1,0.625,,,,,,,,,
Number Operations,Problem Solving with Operations,Class 2 ,ILM 5.19,Identifies appropriate operation (addition or subtraction) to solve problems in a familiar situation/context,Identifies addition as the required operation and solves word problems where quantities are combined or increased.,Math,Word Problems,Addition 2,0.625,,,,,,,,,
Number Operations,Problem Solving with Operations,Class 2 ,ILM 5.19,Identifies appropriate operation (addition or subtraction) to solve problems in a familiar situation/context,Identifies subtraction as the required operation and solves word problems where quantities are reduced or taken away.,Math,Word Problems,Subtraction 2,0.75,,,,,,,,,
Number Operations,Problem Solving with Operations,Class 2 ,ILM 5.19,Identifies appropriate operation (addition or subtraction) to solve problems in a familiar situation/context,Identifies subtraction as the required operation and solves word problems where quantities are reduced or taken away.,Math,Word Problems,Comparison by Subtraction,0.75,,,,,,,,,
Number Operations,Problem Solving with Operations,Class 2 ,ILM 5.19,Identifies appropriate operation (addition or subtraction) to solve problems in a familiar situation/context,Identifies subtraction as the required operation and solves word problems where quantities are reduced or taken away.,Math,Word Problems,Subtract,0.75,,,,,,,,,
Number Operations,Problem Solving with Operations,Class 2 ,ILM 5.19,Identifies appropriate operation (addition or subtraction) to solve problems in a familiar situation/context,Identifies subtraction as the required operation and solves word problems where quantities are reduced or taken away.,Math,Word Problems,Subtraction Challenge,0.75,,,,,,,,,
Number Operations,Problem Solving with Operations,Class 2 ,ILM 5.19,Identifies appropriate operation (addition or subtraction) to solve problems in a familiar situation/context,Identifies subtraction as the required operation and solves word problems where quantities are reduced or taken away.,Math,Word Problems,Subtraction 3,0.75,,,,,,,,,
Number Operations,Problem Solving with Operations,Class 2 ,ILM 5.19,Identifies appropriate operation (addition or subtraction) to solve problems in a familiar situation/context,Selects the correct operation (addition or subtraction) to solve mixed word problems in familiar contexts.,Math,Word Problems,How Many?,0.8125,,,,,,,,,
Number Operations,Fractions,Preschool 3,IL 3.26,"Uses vocabulary like half roti/half glass of water, etc. in daily context","Uses the word ""half"" to describe one of two equal parts of a whole object in routine visual contexts.",English,Measurement,Half,0.6875,,,,,,,,,
Number Operations,Fractions,Class 1,ILM 4.26,"Identifies the relationship between half and whole using paper folding, daily life context like folding of roti/sandwich, etc. and clothes (bedsheets, handkerchief, etc.)","Identifies half and whole by matching, folding, or sharing objects into two equal parts.",Digital Skills,Match box,Parts and Whole,0.75,,,,,,,,,
Number Operations,Fractions,Class 1,ILM 4.26,"Identifies the relationship between half and whole using paper folding, daily life context like folding of roti/sandwich, etc. and clothes (bedsheets, handkerchief, etc.)","Identifies the conceptual relationship between half and whole by comparing shared objects (e.g., pizza/apple).",English,Measurement,Parts & whole,0.8125,,,,,,,,,
Number Operations,Fractions,Class 2 ,ILM 5.26,"Identifies the relationship between half, quarter and whole using paper folding, daily life context like folding of roti/sandwich, etc. and clothes (bedsheets, handkerchief, etc.)","Identifies numerical fraction labels (1/2, 1/3, 1/4, 1/8) and matches them to corresponding visual area models.",English,Measurement,Parts & Whole 1,0.875,,,,,,,,,
Number Operations,Fractions,Class 2 ,ILM 5.26,"Identifies the relationship between half, quarter and whole using paper folding, daily life context like folding of roti/sandwich, etc. and clothes (bedsheets, handkerchief, etc.)",Identifies half as one of two equal parts of a whole using familiar objects.,English,Measurement,Parts Of Whole - 1/2,0.875,,,,,,,,,
Number Operations,Fractions,Class 2 ,ILM 5.26,"Identifies the relationship between half, quarter and whole using paper folding, daily life context like folding of roti/sandwich, etc. and clothes (bedsheets, handkerchief, etc.)",Identifies a quarter as one of four equal parts of a whole using daily-life examples.,English,Measurement,Parts Of Whole - 1/4,0.9375,,,,,,,,,
Number Operations,Fractions,Class 2 ,ILM 5.26,"Identifies the relationship between half, quarter and whole using paper folding, daily life context like folding of roti/sandwich, etc. and clothes (bedsheets, handkerchief, etc.)",Identifies three-quarters as three equal parts out of four and relates it to the whole.,English,Measurement,Parts Of Whole - 3/4,1,,,,,,,,,
Shapes & Spatial Understanding,Shapes in the Environment,Preschool 1,IL 1.25,"Identifies basic shapes like ball, shoe box, birthday cap, ice-cream cone",Names common 3D objects by identifying their geometric forms in the environment.,Math,Number Sense 1-100,3D Shapes,0.0625,,,,,,,,,
Shapes & Spatial Understanding,2D–3D Shapes,Preschool 3,IL 3.25,Identifies the 2-D shapes by tracing the faces of 3-D shapes on a plane surface ,Traces the outlines of basic 2D shapes,Digital Skills,Draw Shape,Rectangle,0,,,,,,,,,
Shapes & Spatial Understanding,2D–3D Shapes,Preschool 3,IL 3.25,Identifies the 2-D shapes by tracing the faces of 3-D shapes on a plane surface ,Traces the outlines of basic 2D shapes,Digital Skills,Draw Shape,Box,0,,,,,,,,,
Shapes & Spatial Understanding,2D–3D Shapes,Preschool 3,IL 3.25,Identifies the 2-D shapes by tracing the faces of 3-D shapes on a plane surface ,"Relates 3D objects to flat faces through visual matching (e.g., television to rectangle).",Math,Beginners Shapes,Shapes 4,0.125,,,,,,,,,
Shapes & Spatial Understanding,2D–3D Shapes,Class 1,ILM 4.25,"Identifies and describes 3D shapes with their observable characteristics. For example- a shoe box is a cube and has 6 faces, 8 corners, a ball is sphere with no corner and no flat surface etc.",Matches real-world objects to their corresponding 3D shapes.,Digital Skills,Match box,Objects and Shapes,0.125,,,,,,,,,
Shapes & Spatial Understanding,2D–3D Shapes,Class 1,ILM 4.25,"Identifies and describes 3D shapes with their observable characteristics. For example- a shoe box is a cube and has 6 faces, 8 corners, a ball is sphere with no corner and no flat surface etc.",Matches complex real-world solids to geometric shapes to identify characteristics like flat vs. curved surfaces.,Math,Math Sense Beginners,Shapes and Solids,0.1875,,,,,,,,,
Shapes & Spatial Understanding,2D–3D Shapes,Class 2 ,ILM 5.25,"Identifies and describes basic 2D shapes such as rectangle, triangle, circle, and other shapes around her/ him. For example, the pages of a book are rectangular and has 4 sides, 4 corners.","Identifies and matches basic 2D shapes (circle, triangle, rectangle, square) across various sizes and orientations.",Math,Beginners Shapes,Shapes 1,0.0625,,,,,,,,,
Shapes & Spatial Understanding,2D–3D Shapes,Class 2 ,ILM 5.25,"Identifies and describes basic 2D shapes such as rectangle, triangle, circle, and other shapes around her/ him. For example, the pages of a book are rectangular and has 4 sides, 4 corners.","Identifies and matches basic 2D shapes (circle, triangle, rectangle, square) across various sizes and orientations.",Math,Beginners Shapes,Shapes 2,0.0625,,,,,,,,,
Shapes & Spatial Understanding,2D–3D Shapes,Class 2 ,ILM 5.25,"Identifies and describes basic 2D shapes such as rectangle, triangle, circle, and other shapes around her/ him. For example, the pages of a book are rectangular and has 4 sides, 4 corners.","Identifies and matches basic 2D shapes (circle, triangle, rectangle, square) across various sizes and orientations.",Math,Beginners Shapes,Shapes 3,0.0625,,,,,,,,,
Shapes & Spatial Understanding,2D–3D Shapes,Class 2 ,ILM 5.25,"Identifies and describes basic 2D shapes such as rectangle, triangle, circle, and other shapes around her/ him. For example, the pages of a book are rectangular and has 4 sides, 4 corners.",Differentiates between polygons and advanced figures like hexagons and rhombuses.,Math,Math Sense Beginners,Shapes Advanced,0.125,,,,,,,,,
Shapes & Spatial Understanding,2D–3D Shapes,Class 2 ,ILM 5.25,"Identifies and describes basic 2D shapes such as rectangle, triangle, circle, and other shapes around her/ him. For example, the pages of a book are rectangular and has 4 sides, 4 corners.",Distinguishes between flat 2D shapes and solid 3D figures while relating specific faces to corresponding objects.,Math,Math Sense Beginners,2D & 3D Shapes ,0.1875,,,,,,,,,
Measurement,Time,Preschool 1,IL 1.7,"Enjoys stories based of occurrence of different events what happened first, who came at night, etc.",Relate actions to day/night periods.,English,Time,Day and Night,0,,,,,,,,,
Measurement,Time,Preschool 1,IL 1.7,"Enjoys stories based of occurrence of different events what happened first, who came at night, etc.",Relate actions to day/night periods.,English,Time,Night and Day,0,,,,,,,,,
Measurement,Time,Preschool 3,IL 3.7,"When recited a story, can understand time related events morning, afternoon, evening, and night.",Distinguish time via visual markers.,English,Time,Day or Night,0.0625,,,,,,,,,
Measurement,Time,Class 1,ILM 4.7,"Describes his/her daily routine in sequence using words in the morning. afternoon, evening, and night.",Associate greetings with clock times.,English,Time,Greetings,0.125,,,,,,,,,
Measurement,Time,Class 1,ILM 4.7,"Describes his/her daily routine in sequence using words in the morning. afternoon, evening, and night.",Sequence activities using hourly markers.,English,Time,Match Time,0.1875,,,,,,,,,
Measurement,Time,Class 2 ,ILM 5.7,"Sequences the events according to their duration in terms of days; for example, does a child remain in school for a longer period than at home",Identifies chronological boundaries (sunrise/sunset) and sequences the ordinal position of specific days and months.,English,Time,More Practice,0.25,,,,,,,,,
Measurement,Money,Preschool 2,IL 2.20,Identify Indian currency coins,"Identifies and matches visual images of Indian coins (₹1, ₹2, ₹5) to their specific monetary values.",English,Money,Indian Currency 1,0.375,,,,,,,,,
Measurement,Money,Preschool 3,IL 3.20,Identify Indian currency notes,"Recognizes and distinguishes between standard Indian currency notes (₹10, ₹20, ₹100) by relating images to labels.",English,Money,Indian Currency 2,0.4375,,,,,,,,,
Measurement,Money,Class 1,ILM 4.20,Represents an amount up to Rs. 20 using notes/coins,Calculates equivalent values for denominations and matches currency images to target totals up to ₹20.,English,Money,Indian Currency 3,0.5,,,,,,,,,
Measurement,Money,Class 2 ,ILM 5.20,Represents an amount up to Rs. 100 using notes and coins,Constructs monetary sets up to ₹100 by combining notes and coins.,English,Money,Indian Currency 4,0.5625,,,,,,,,,
Measurement,Money,Class 2 ,ILM 5.20,Represents an amount up to Rs. 100 using notes and coins,Constructs monetary sets up to ₹100 by combining notes and coins.,English,Money,Indian Currency 5,0.5625,,,,,,,,,
Measurement,Length/Distance,Preschool 1,IL 1.21,"Uses vocabulary to express length through poems riddles, jokes, and stories",Describes heights (tall/short) within a routine narrative context using basic descriptive labels.,English,Measurement,"Tall, Long and Short 1",0.0625,,,,,,,,,
Measurement,Length/Distance,Preschool 2,IL 2.21,"Compares two objects in terms of their lengths as longer than/shorter than, taller than/shorter than",Compares objects as taller or shorter using pictures to identify relative height.,English,Measurement,"Tall, Long and Short",0.125,,,,,,,,,
Measurement,Length/Distance,Preschool 2,IL 2.21,"Compares two objects in terms of their lengths as longer than/shorter than, taller than/shorter than",Compares objects as taller or shorter using pictures to identify relative height.,English,Measurement,"Long, Tall, Short",0.125,,,,,,,,,
Measurement,Length/Distance,Preschool 2,IL 2.21,"Compares two objects in terms of their lengths as longer than/shorter than, taller than/shorter than",Compares objects as taller or shorter using pictures to identify relative height.,English,Measurement,"Long, Tall, Short -1",0.125,,,,,,,,,
Measurement,Length/Distance,Preschool 2,IL 2.21,"Compares two objects in terms of their lengths as longer than/shorter than, taller than/shorter than",Compares objects as taller or shorter using pictures to identify relative height.,English,Measurement ,Comparison,0.125,,,,,,,,,
Measurement,Length/Distance,Preschool 3,IL 3.21,"Compares three objects in terms of their lengths as longest/shortest, tallest/shortest",Ranks a set of three objects based on their specific length or height properties.,English,Measurement,"Longest, Tallest, Shortest",0.1875,,,,,,,,,
Measurement,Length/Distance,Preschool 3,IL 3.21,"Compares three objects in terms of their lengths as longest/shortest, tallest/shortest",Ranks a set of three objects based on their specific length or height properties.,English,Measurement,"Longest, Tallest, Shortest - 1",0.1875,,,,,,,,,
Measurement,Length/Distance,Class 1,ILM 4.21,"Estimates and measures short lengths using non uniform units like a finger, hand span, length of a forearm, footsteps, etc.",Utilizes pictorial hand-spans as non-standard digital benchmarks to estimate length.,English,Measurement,Basics,0.25,,,,,,,,,
Measurement,Length/Distance,Class 2 ,ILM 5.21,"Estimates and measures length/distances using uniform non-standard units like a rod/pencil/thread, etc.","Determines the length or height of objects by identifying and counting ""feet"" as consistent repeat units in pictorial models.",English,Measurement,Units of Measurement,0.3125,,,,,,,,,
Measurement,Weight/Mass,Preschool 1,IL 1.22,"Uses vocabulary to express weight through poems, and stories",Identifies weight status (heavy/light) based on visual cues,English,Measurement,Heavy or Light 3,0.0625,,,,,,,,,
Measurement,Weight/Mass,Preschool 3,IL 3.22,Compares two objects in terms of their weight as heavier than/lighter than,"Contrasts the weight of pictorial object pairs to distinguish between ""heavy"" and ""light"" properties.",English,Measurement,Heavy or Light 1,0.125,,,,,,,,,
Measurement,Weight/Mass,Preschool 3,IL 3.22,Compares two objects in terms of their weight as heavier than/lighter than,"Contrasts the weight of pictorial object pairs to distinguish between ""heavy"" and ""light"" properties.",English,Measurement,Heavy or Light 2,0.125,,,,,,,,,
Measurement,Weight/Mass,Class 1,ILM 4.22,Compares three objects in terms of their weight as heaviest/lightest,Selects the heaviest or lightest item from a set of three objects using visual weight comparisons,English,Measurement,Heaviest or Lightest?,0.1875,,,,,,,,,
Measurement,Weight/Mass,Class 2 ,ILM 5.22,Compares objects as heavier than/lighter than using simple balance,Analyzes relative weight by interpreting the positional state of balance scales.,English,Measurement ,More comparisons,0.25,,,,,,,,,
Measurement,Weight/Mass,Class 2 ,ILM 5.22,Compares objects as heavier than/lighter than using simple balance,Analyzes relative weight by interpreting the positional state of balance scales.,English,Measurement ,Heavy or Light 4,0.25,,,,,,,,,
Measurement,Volume/Capacity,Preschool 1,IL 1.23,Uses vocabulary to express capacities through poems and stories,"Selects the correct comparison words ""more"" or ""less"" to describe visual volumes in containers",English,Measurement,More or Less ,0.3125,,,,,,,,,
Measurement,Volume/Capacity,Preschool 2,IL 2.23,"Uses vocabulary to express capacities through poems riddles, jokes, and stories","Distinguishes between vessels that hold more or less liquid by comparing container types (e.g., tub vs. mug, jar vs. glass).",English,Measurement,More or Less 1,0.375,,,,,,,,,
Measurement,Volume/Capacity,Preschool 3,IL 3.23,"Compares capacities of two vessels like bottles, glasses, bucket, etc.","Categorizes the specific internal volume level of liquid within a container using labels like quarter-full, half-full, and three-fourth full.",English,Measurement,Capacity of Glass,0.4375,,,,,,,,,
Measurement,Time,Preschool 1,IL 1.29,"Uses vocabulary in daily life like today, tomorrow and yesterday. For example: Sunday is a holiday",Selects the appropriate relative time adverbs (today/tomorrow/yesterday) to complete routine contextual sentences.,English,Time,When?,0.0625,,,,,,,,,
Measurement,Time,Preschool 2,IL 2.29,"Identifies special days like Saturday, Sunday, holiday, etc.","Recognizes specific types of days, such as weekends and holidays, in context.",English,Time,Days of the week 3,0.125,,,,,,,,,
Measurement,Time,Preschool 3,IL 3.29,Recites the names of the days of the week and months of the year,Reproduces the sequential order of all 7 days and first 6 months of the year.,English,Time,Days of the week,0.1875,,,,,,,,,
Measurement,Time,Preschool 3,IL 3.29,Recites the names of the days of the week and months of the year,Reproduces the sequential order of all 7 days and first 6 months of the year.,English,Time,Days of the week 1,0.1875,,,,,,,,,
Measurement,Time,Preschool 3,IL 3.29,Recites the names of the days of the week and months of the year,Reproduces the sequential order of all 7 days and first 6 months of the year.,English,Time,Months of the year,0.1875,,,,,,,,,
Measurement,Time,Preschool 3,IL 3.29,Recites the names of the days of the week and months of the year,Interprets analog clock faces to identify and name specific hourly timeframes (O'clock).,English,Time,Clock,0.1875,,,,,,,,,
Measurement,Time,Preschool 3,IL 3.29,Recites the names of the days of the week and months of the year,Interprets analog clock faces to identify and name specific hourly timeframes (O'clock).,English,Time,Clock 1,0.1875,,,,,,,,,
Measurement,Time,Preschool 3,IL 3.29,Recites the names of the days of the week and months of the year,Interprets analog clock faces to identify and name specific hourly timeframes (O'clock).,English,Time,Reading Time,0.1875,,,,,,,,,
Measurement,Time,Preschool 3,IL 3.29,Recites the names of the days of the week and months of the year,Interprets analog clock faces to identify and name specific hourly timeframes (O'clock).,English,Time,What Time Is It?,0.1875,,,,,,,,,
Measurement,Time,Preschool 3,IL 3.29,Recites the names of the days of the week and months of the year,Recalls technical time conversions (seconds/minutes/hours) and basic week/month durations.,English,Time,Practice,0.25,,,,,,,,,
Measurement,Time,Class 1,ILM 4.29,Identifies the names of the days of the week and months of the year for day/month events,Names the correct day when describing familiar events.,English,Time ,Days of the week 2,0.25,,,,,,,,,
Measurement,Time,Class 1,ILM 4.29,Identifies the names of the days of the week and months of the year for day/month events,Names the correct month when describing familiar events.,English,Time ,Months of the year 1,0.25,,,,,,,,,
Measurement,Time,Class 1,ILM 4.29,Identifies the names of the days of the week and months of the year for day/month events,Names the correct month when describing familiar events.,English,Time ,Months of the year 2,0.25,,,,,,,,,
Measurement,Time,Class 1,ILM 4.29,Identifies the names of the days of the week and months of the year for day/month events,Names the correct month when describing familiar events.,English,Time ,Months of the year 3,0.25,,,,,,,,,
Measurement,Time,Class 2 ,ILM 5.29,Identifies the days of the week and months of the year using a calendar in her daily life,Identifies the months of the year using a calendar in her daily life,English,Time,Months of the year 4,0.3125,,,,,,,,,
Patterns,"Pattern Recognition, Extension & Generalisation",Preschool 1,IL 1.27,"Follows/reproduces a simple pattern like clapping hands, clicking fingers, tapping feet, etc.",Recognises and extends simple patterns,Digital Skills,Matching Card,Beginner,0.125,,,,,,,,,
Patterns,"Pattern Recognition, Extension & Generalisation",Preschool 2,IL 2.27,Identifies the unit of repeating a simple pattern and extends the pattern,Continues a given simple pattern by selecting the next correct item.,Digital Skills,Shape Tractor,Succession in Shapes,0.1875,,,,,,,,,
Patterns,"Pattern Recognition, Extension & Generalisation",Preschool 2,IL 2.27,Identifies the unit of repeating a simple pattern and extends the pattern,Identifies the repeating unit and extends the pattern.,Math, Number Sense 1-5,Number Series,0.25,,,,,,,,,
Patterns,"Pattern Recognition, Extension & Generalisation",Class 1,ILM 4.27,"Observes, extends, and creates patterns of shapes, numbers, and musical/sound patterns. For example, arrangement of shapes/objects/numbers, etc.: - For example 1, 2, 3, 4, 5, . . . 1, 3, 5, . . .. 2, 4, 6, . . .. 1, 2, 3, 1, 2, etc.","Identifies increasing numerical patterns by using forward skip counting (5s, 10s).",Math,Skip Counting,Skip By 5's,0.3125,,,,,,,,,
Patterns,"Pattern Recognition, Extension & Generalisation",Class 1,ILM 4.27,"Observes, extends, and creates patterns of shapes, numbers, and musical/sound patterns. For example, arrangement of shapes/objects/numbers, etc.: - For example 1, 2, 3, 4, 5, . . . 1, 3, 5, . . .. 2, 4, 6, . . .. 1, 2, 3, 1, 2, etc.","Identifies increasing numerical patterns by using forward skip counting (5s, 10s).",Math,Skip Counting,Skip By 10's,0.3125,,,,,,,,,
Patterns,"Pattern Recognition, Extension & Generalisation",Class 1,ILM 4.27,"Observes, extends, and creates patterns of shapes, numbers, and musical/sound patterns. For example, arrangement of shapes/objects/numbers, etc.: - For example 1, 2, 3, 4, 5, . . . 1, 3, 5, . . .. 2, 4, 6, . . .. 1, 2, 3, 1, 2, etc.",Analyzes decreasing numerical patterns by identifying missing values in backward skip counting sequences.,Math,Skip Counting,Skip 2's Backward,0.375,,,,,,,,,
Patterns,"Pattern Recognition, Extension & Generalisation",Class 1,ILM 4.27,"Observes, extends, and creates patterns of shapes, numbers, and musical/sound patterns. For example, arrangement of shapes/objects/numbers, etc.: - For example 1, 2, 3, 4, 5, . . . 1, 3, 5, . . .. 2, 4, 6, . . .. 1, 2, 3, 1, 2, etc.",Analyzes decreasing numerical patterns by identifying missing values in backward skip counting sequences.,Math,Skip Counting,Skip By 5's Backwards,0.375,,,,,,,,,
Patterns,"Pattern Recognition, Extension & Generalisation",Class 1,ILM 4.27,"Observes, extends, and creates patterns of shapes, numbers, and musical/sound patterns. For example, arrangement of shapes/objects/numbers, etc.: - For example 1, 2, 3, 4, 5, . . . 1, 3, 5, . . .. 2, 4, 6, . . .. 1, 2, 3, 1, 2, etc.",completes numerical sequences up to 999 by identifying missing values in backward skip-counting by 10s and skip-counting by 100s.,Math, Skip Counting ,Skip By 10's Backwards,0.4375,,,,,,,,,
Patterns,"Pattern Recognition, Extension & Generalisation",Class 1,ILM 4.27,"Observes, extends, and creates patterns of shapes, numbers, and musical/sound patterns. For example, arrangement of shapes/objects/numbers, etc.: - For example 1, 2, 3, 4, 5, . . . 1, 3, 5, . . .. 2, 4, 6, . . .. 1, 2, 3, 1, 2, etc.",completes numerical sequences up to 999 by identifying missing values in backward skip-counting by 10s and skip-counting by 100s.,Math, Skip Counting ,Skip By 100,0.4375,,,,,,,,,
